SalesDate,ItemID,StoreID,SalesQuantity,Lag_1,Lag_7,RollingAvg_7,Month,DayOfWeek
2016-01-01,1004,1,1,0.0,0.0,0.0,1,4
2016-01-02,1004,1,2,1.0,0.0,0.0,1,5
2016-01-03,1004,1,1,2.0,0.0,0.0,1,6
2016-01-08,1004,1,1,1.0,0.0,0.0,1,4
2016-01-09,1005,1,2,0.0,0.0,0.0,1,5
2016-01-15,1005,1,1,2.0,0.0,0.0,1,4
2016-01-22,1005,1,1,1.0,0.0,0.0,1,4
2016-01-30,1005,1,1,1.0,0.0,0.0,1,5
2016-01-05,10058,1,4,0.0,0.0,0.0,1,1
2016-01-06,10058,1,1,4.0,0.0,0.0,1,2
2016-01-08,10058,1,1,1.0,0.0,0.0,1,4
2016-01-10,10058,1,1,1.0,0.0,0.0,1,6
2016-01-19,10058,1,1,1.0,0.0,0.0,1,1
2016-01-22,10058,1,3,1.0,0.0,0.0,1,4
2016-01-23,10058,1,2,3.0,0.0,1.8571428571428572,1,5
2016-01-25,10058,1,1,2.0,4.0,1.4285714285714286,1,0
2016-01-29,10058,1,1,1.0,1.0,1.4285714285714286,1,4
2016-01-29,1006,1,1,0.0,0.0,0.0,1,4
2016-01-01,10062,1,1,0.0,0.0,0.0,1,4
2016-01-02,10062,1,1,1.0,0.0,0.0,1,5
2016-01-05,10062,1,1,1.0,0.0,0.0,1,1
2016-01-07,10062,1,1,1.0,0.0,0.0,1,3
2016-01-09,10062,1,3,1.0,0.0,0.0,1,5
2016-01-14,10062,1,1,3.0,0.0,0.0,1,3
2016-01-16,10062,1,1,1.0,0.0,1.2857142857142858,1,5
2016-01-18,10062,1,1,1.0,1.0,1.2857142857142858,1,0
2016-01-22,10062,1,2,1.0,1.0,1.4285714285714286,1,4
2016-01-23,10062,1,1,2.0,1.0,1.4285714285714286,1,5
2016-01-24,10062,1,3,1.0,1.0,1.7142857142857142,1,6
2016-01-28,10062,1,1,3.0,3.0,1.4285714285714286,1,3
2016-01-30,10062,1,1,1.0,1.0,1.4285714285714286,1,5
2016-01-02,1009,1,1,0.0,0.0,0.0,1,5
2016-01-29,1012,1,1,0.0,0.0,0.0,1,4
2016-01-06,1013,1,1,0.0,0.0,0.0,1,2
2016-01-29,1013,1,1,1.0,0.0,0.0,1,4
2016-01-09,1019,1,1,0.0,0.0,0.0,1,5
2016-01-20,1019,1,1,1.0,0.0,0.0,1,2
2016-01-29,1020,1,1,0.0,0.0,0.0,1,4
2016-01-29,1020,1,1,1.0,0.0,0.0,1,4
2016-01-29,1021,1,12,0.0,0.0,0.0,1,4
2016-01-30,1022,1,1,0.0,0.0,0.0,1,5
2016-01-06,10236,1,1,0.0,0.0,0.0,1,2
2016-01-09,10236,1,1,1.0,0.0,0.0,1,5
2016-01-12,10236,1,1,1.0,0.0,0.0,1,1
2016-01-14,10236,1,1,1.0,0.0,0.0,1,3
2016-01-16,10236,1,1,1.0,0.0,0.0,1,5
2016-01-19,10236,1,2,1.0,0.0,0.0,1,1
2016-01-22,10236,1,1,2.0,0.0,1.1428571428571428,1,4
2016-01-23,10236,1,2,1.0,1.0,1.2857142857142858,1,5
2016-01-28,10236,1,1,2.0,1.0,1.2857142857142858,1,3
2016-01-02,10238,1,2,0.0,0.0,0.0,1,5
2016-01-06,10238,1,2,2.0,0.0,0.0,1,2
2016-01-09,10238,1,2,2.0,0.0,0.0,1,5
2016-01-12,10238,1,4,2.0,0.0,0.0,1,1
2016-01-14,10238,1,3,4.0,0.0,0.0,1,3
2016-01-15,10238,1,2,3.0,0.0,0.0,1,4
2016-01-16,10238,1,4,2.0,0.0,2.7142857142857144,1,5
2016-01-19,10238,1,1,4.0,2.0,2.5714285714285716,1,1
