Store,onHand,startDate,ItemId
1,8,2015-12-31,58
1,7,2015-12-31,60
1,6,2015-12-31,62
1,3,2015-12-31,63
1,6,2015-12-31,72
1,18,2015-12-31,75
1,7,2015-12-31,77
1,2,2015-12-31,79
1,5,2015-12-31,115
1,11,2015-12-31,120
1,17,2015-12-31,126
1,0,2015-12-31,165
1,12,2015-12-31,171
1,6,2015-12-31,175
1,24,2015-12-31,178
1,2,2015-12-31,192
1,6,2015-12-31,211
1,11,2015-12-31,233
1,1,2015-12-31,247
1,13,2015-12-31,254
1,14,2015-12-31,261
1,29,2015-12-31,273
1,1,2015-12-31,281
1,4,2015-12-31,283
1,2,2015-12-31,284
1,28,2015-12-31,294
1,0,2015-12-31,305
1,8,2015-12-31,311
1,6,2015-12-31,323
1,3,2015-12-31,344
1,0,2015-12-31,356
1,10,2015-12-31,361
1,2,2015-12-31,366
1,7,2015-12-31,376
1,7,2015-12-31,381
1,8,2015-12-31,384
1,25,2015-12-31,388
1,6,2015-12-31,403
1,57,2015-12-31,408
1,27,2015-12-31,415
1,2,2015-12-31,419
1,1,2015-12-31,425
1,48,2015-12-31,426
1,8,2015-12-31,435
1,11,2015-12-31,438
1,14,2015-12-31,443
1,7,2015-12-31,450
1,3,2015-12-31,463
1,0,2015-12-31,482
1,17,2015-12-31,485
1,16,2015-12-31,497
1,36,2015-12-31,508
1,0,2015-12-31,513
1,2,2015-12-31,515
1,4,2015-12-31,523
1,6,2015-12-31,525
1,15,2015-12-31,536
1,0,2015-12-31,538
1,0,2015-12-31,539
1,5,2015-12-31,543
1,4,2015-12-31,555
1,15,2015-12-31,567
1,1,2015-12-31,597
1,5,2015-12-31,649
1,1,2015-12-31,652
1,5,2015-12-31,653
1,6,2015-12-31,659
1,33,2015-12-31,661
1,8,2015-12-31,664
1,0,2015-12-31,676
1,36,2015-12-31,680
1,14,2015-12-31,686
1,7,2015-12-31,693
1,10,2015-12-31,742
1,2,2015-12-31,743
1,3,2015-12-31,753
1,17,2015-12-31,757
1,6,2015-12-31,759
1,6,2015-12-31,779
1,14,2015-12-31,780
1,3,2015-12-31,782
1,6,2015-12-31,802
1,10,2015-12-31,807
1,5,2015-12-31,809
1,12,2015-12-31,810
1,0,2015-12-31,811
1,27,2015-12-31,812
1,9,2015-12-31,821
1,0,2015-12-31,822
1,0,2015-12-31,824
1,10,2015-12-31,828
1,12,2015-12-31,831
1,12,2015-12-31,836
1,2,2015-12-31,838
1,15,2015-12-31,854
1,21,2015-12-31,856
1,6,2015-12-31,857
1,5,2015-12-31,858
1,6,2015-12-31,859
1,2,2015-12-31,870
1,12,2015-12-31,876
1,2,2015-12-31,883
1,1,2015-12-31,889
1,5,2015-12-31,892
1,1,2015-12-31,895
1,13,2015-12-31,903
1,12,2015-12-31,934
1,0,2015-12-31,938
1,2,2015-12-31,942
1,2,2015-12-31,950
1,31,2015-12-31,966
1,8,2015-12-31,970
1,16,2015-12-31,971
1,42,2015-12-31,984
1,0,2015-12-31,999
1,0,2015-12-31,1000
1,0,2015-12-31,1001
1,17,2015-12-31,1004
1,7,2015-12-31,1005
1,1,2015-12-31,1006
1,1,2015-12-31,1009
1,7,2015-12-31,1012
1,4,2015-12-31,1013
1,18,2015-12-31,1019
1,1,2015-12-31,1020
1,12,2015-12-31,1021
1,0,2015-12-31,1022
1,59,2015-12-31,1023
1,53,2015-12-31,1024
1,3,2015-12-31,1029
1,6,2015-12-31,1030
1,5,2015-12-31,1031
1,17,2015-12-31,1033
1,0,2015-12-31,1034
1,4,2015-12-31,1035
1,5,2015-12-31,1036
1,1,2015-12-31,1037
1,0,2015-12-31,1038
1,21,2015-12-31,1039
1,3,2015-12-31,1051
1,0,2015-12-31,1059
1,38,2015-12-31,1060
1,3,2015-12-31,1061
1,55,2015-12-31,1064
1,5,2015-12-31,1065
1,0,2015-12-31,1066
1,3,2015-12-31,1094
1,8,2015-12-31,1106
1,23,2015-12-31,1112
1,0,2015-12-31,1133
1,7,2015-12-31,1135
1,0,2015-12-31,1148
1,6,2015-12-31,1168
1,12,2015-12-31,1174
1,9,2015-12-31,1178
1,16,2015-12-31,1180
1,0,2015-12-31,1181
1,5,2015-12-31,1186
1,48,2015-12-31,1212
1,5,2015-12-31,1214
1,0,2015-12-31,1220
1,5,2015-12-31,1226
1,8,2015-12-31,1228
1,10,2015-12-31,1231
1,32,2015-12-31,1232
1,98,2015-12-31,1233
1,14,2015-12-31,1237
1,52,2015-12-31,1238
1,16,2015-12-31,1239
1,0,2015-12-31,1244
1,19,2015-12-31,1258
1,1,2015-12-31,1259
1,9,2015-12-31,1269
1,4,2015-12-31,1271
1,10,2015-12-31,1273
1,0,2015-12-31,1274
1,34,2015-12-31,1278
1,7,2015-12-31,1281
1,0,2015-12-31,1282
1,13,2015-12-31,1295
1,3,2015-12-31,1296
1,0,2015-12-31,1309
1,10,2015-12-31,1323
1,2,2015-12-31,1330
1,44,2015-12-31,1336
1,15,2015-12-31,1340
1,4,2015-12-31,1343
1,6,2015-12-31,1345
1,14,2015-12-31,1346
1,23,2015-12-31,1347
1,0,2015-12-31,1348
1,51,2015-12-31,1355
1,5,2015-12-31,1358
1,5,2015-12-31,1359
1,3,2015-12-31,1361
1,1,2015-12-31,1364
1,49,2015-12-31,1365
1,135,2015-12-31,1366
1,27,2015-12-31,1373
1,38,2015-12-31,1375
1,85,2015-12-31,1376
1,0,2015-12-31,1378
1,12,2015-12-31,1379
1,24,2015-12-31,1380
1,4,2015-12-31,1382
1,46,2015-12-31,1384
1,26,2015-12-31,1385
1,8,2015-12-31,1386
1,36,2015-12-31,1388
1,0,2015-12-31,1389
1,11,2015-12-31,1392
1,12,2015-12-31,1394
1,21,2015-12-31,1395
1,15,2015-12-31,1396
1,25,2015-12-31,1397
1,0,2015-12-31,1398
1,0,2015-12-31,1415
1,0,2015-12-31,1424
1,14,2015-12-31,1425
1,15,2015-12-31,1464
1,0,2015-12-31,1465
1,24,2015-12-31,1468
1,0,2015-12-31,1476
1,15,2015-12-31,1479
1,0,2015-12-31,1483
1,7,2015-12-31,1515
1,5,2015-12-31,1520
1,60,2015-12-31,1535
1,6,2015-12-31,1542
1,48,2015-12-31,1545
1,3,2015-12-31,1550
1,1,2015-12-31,1556
1,0,2015-12-31,1595
1,2,2015-12-31,1623
1,15,2015-12-31,1634
1,8,2015-12-31,1637
1,19,2015-12-31,1639
1,10,2015-12-31,1657
1,9,2015-12-31,1672
1,11,2015-12-31,1692
1,9,2015-12-31,1715
1,7,2015-12-31,1725
1,9,2015-12-31,1727
1,7,2015-12-31,1728
1,4,2015-12-31,1734
1,5,2015-12-31,1737
1,1,2015-12-31,1738
1,4,2015-12-31,1740
1,4,2015-12-31,1744
1,8,2015-12-31,1746
1,16,2015-12-31,1748
1,8,2015-12-31,1758
1,10,2015-12-31,1760
1,4,2015-12-31,1767
1,17,2015-12-31,1770
1,0,2015-12-31,1771
1,29,2015-12-31,1781
1,56,2015-12-31,1789
1,6,2015-12-31,1798
1,4,2015-12-31,1817
1,9,2015-12-31,1835
1,4,2015-12-31,1836
1,7,2015-12-31,1845
1,3,2015-12-31,1848
1,7,2015-12-31,1860
1,15,2015-12-31,1862
1,36,2015-12-31,1867
1,6,2015-12-31,1868
1,6,2015-12-31,1869
1,3,2015-12-31,1870
1,3,2015-12-31,1874
1,14,2015-12-31,1875
1,0,2015-12-31,1876
1,3,2015-12-31,1878
1,22,2015-12-31,1880
1,32,2015-12-31,1883
1,0,2015-12-31,1886
1,92,2015-12-31,1892
1,3,2015-12-31,1893
1,20,2015-12-31,1896
1,0,2015-12-31,1920
1,6,2015-12-31,1921
1,0,2015-12-31,1927
1,5,2015-12-31,1955
1,1,2015-12-31,1956
1,3,2015-12-31,1961
1,0,2015-12-31,1962
1,8,2015-12-31,1964
1,0,2015-12-31,1982
1,11,2015-12-31,1987
1,10,2015-12-31,1997
1,9,2015-12-31,1999
1,6,2015-12-31,2008
1,66,2015-12-31,2015
1,5,2015-12-31,2016
1,0,2015-12-31,2017
