Date,StoreID,ItemID,TranType,Quantity,StockLevel
2015-12-31,1,10058,Opening,21,21
2025-01-01,1,10058,Sale,-6,15
2025-01-02,1,10058,Sale,-11,4
2025-01-03,1,10058,Sale,-10,-6
2025-01-04,1,10058,Sale,-13,-19
2025-01-05,1,10058,Sale,-22,-41
2025-01-06,1,10058,Sale,-15,-56
2025-01-07,1,10058,Sale,-13,-69
2025-01-08,1,10058,Sale,-11,-80
2025-01-09,1,10058,Sale,-6,-86
2025-01-10,1,10058,Sale,-7,-93
2025-01-11,1,10058,Sale,-22,-115
2025-01-12,1,10058,Sale,-7,-122
2025-01-13,1,10058,Sale,-12,-134
2025-01-14,1,10058,Sale,-11,-145
2025-01-15,1,10058,Sale,-14,-159
2025-01-16,1,10058,Sale,-7,-166
2025-01-17,1,10058,Sale,-6,-172
2025-01-18,1,10058,Sale,-10,-182
2025-01-19,1,10058,Sale,-12,-194
2025-01-20,1,10058,Sale,-6,-200
2025-01-21,1,10058,Sale,-9,-209
2025-01-22,1,10058,Sale,-6,-215
2025-01-23,1,10058,Sale,-15,-230
2025-01-24,1,10058,Sale,-10,-240
2025-01-25,1,10058,Sale,-7,-247
2025-01-26,1,10058,Sale,-18,-265
2025-01-27,1,10058,Sale,-7,-272
2025-01-28,1,10058,Sale,-15,-287
2025-01-29,1,10058,Sale,-7,-294
2025-01-30,1,10058,Sale,-10,-304
2025-01-31,1,10058,Sale,-9,-313
2025-02-01,1,10058,Sale,-22,-335
2025-02-02,1,10058,Sale,-10,-345
2025-02-03,1,10058,Sale,-7,-352
2025-02-04,1,10058,Sale,-8,-360
2025-02-05,1,10058,Sale,-12,-372
2025-02-06,1,10058,Sale,-9,-381
2025-02-07,1,10058,Sale,-11,-392
2025-02-08,1,10058,Sale,-7,-399
2025-02-09,1,10058,Sale,-15,-414
2025-02-10,1,10058,Sale,-6,-420
2025-02-11,1,10058,Sale,-12,-432
2025-02-12,1,10058,Sale,-5,-437
2025-02-13,1,10058,Sale,-6,-443
2025-02-14,1,10058,Sale,-9,-452
2025-02-15,1,10058,Sale,-13,-465
2025-02-16,1,10058,Sale,-13,-478
2025-02-17,1,10058,Sale,-6,-484
2025-02-18,1,10058,Sale,-15,-499
2025-02-19,1,10058,Sale,-6,-505
2025-02-20,1,10058,Sale,-5,-510
2025-02-21,1,10058,Sale,-15,-525
2025-02-22,1,10058,Sale,-23,-548
2025-02-23,1,10058,Sale,-19,-567
2025-02-24,1,10058,Sale,-8,-575
2025-02-25,1,10058,Sale,-14,-589
2025-02-26,1,10058,Sale,-15,-604
2025-02-27,1,10058,Sale,-5,-609
2025-02-28,1,10058,Sale,-6,-615
2025-03-01,1,10058,Sale,-14,-629
2025-03-02,1,10058,Sale,-20,-649
2025-03-03,1,10058,Sale,-5,-654
2025-03-04,1,10058,Sale,-15,-669
2025-03-05,1,10058,Sale,-14,-683
2025-03-06,1,10058,Sale,-10,-693
2025-03-07,1,10058,Sale,-15,-708
2025-03-08,1,10058,Sale,-17,-725
2025-03-09,1,10058,Sale,-7,-732
2025-03-10,1,10058,Sale,-7,-739
2025-03-11,1,10058,Sale,-15,-754
2025-03-12,1,10058,Sale,-6,-760
2025-03-13,1,10058,Sale,-9,-769
2025-03-14,1,10058,Sale,-15,-784
2025-03-15,1,10058,Sale,-13,-797
2025-03-16,1,10058,Sale,-23,-820
2025-03-17,1,10058,Sale,-5,-825
2025-03-18,1,10058,Sale,-14,-839
2025-03-19,1,10058,Sale,-16,-855
2025-03-20,1,10058,Sale,-10,-865
2025-03-21,1,10058,Sale,-9,-874
2025-03-22,1,10058,Sale,-19,-893
2025-03-23,1,10058,Sale,-10,-903
2025-03-24,1,10058,Sale,-15,-918
2025-03-25,1,10058,Sale,-11,-929
2025-03-26,1,10058,Sale,-10,-939
2025-03-27,1,10058,Sale,-8,-947
2025-03-28,1,10058,Sale,-11,-958
2025-03-29,1,10058,Sale,-9,-967
2025-03-30,1,10058,Sale,-9,-976
2025-03-31,1,10058,Sale,-6,-982
2025-04-01,1,10058,Sale,-12,-994
2025-04-02,1,10058,Sale,-14,-1008
2025-04-03,1,10058,Sale,-13,-1021
2025-04-04,1,10058,Sale,-15,-1036
2025-04-05,1,10058,Sale,-13,-1049
2025-04-06,1,10058,Sale,-20,-1069
2025-04-07,1,10058,Sale,-16,-1085
2025-04-08,1,10058,Sale,-8,-1093
2025-04-09,1,10058,Sale,-13,-1106
2025-04-10,1,10058,Sale,-13,-1119
2025-04-11,1,10058,Sale,-7,-1126
2025-04-12,1,10058,Sale,-7,-1133
2025-04-13,1,10058,Sale,-14,-1147
2025-04-14,1,10058,Sale,-14,-1161
2025-04-15,1,10058,Sale,-16,-1177
2025-04-16,1,10058,Sale,-9,-1186
2025-04-17,1,10058,Sale,-13,-1199
2025-04-18,1,10058,Sale,-5,-1204
2025-04-19,1,10058,Sale,-20,-1224
2025-04-20,1,10058,Sale,-16,-1240
2025-04-21,1,10058,Sale,-8,-1248
